Year,Events,Deaths,Deaths_Neg,Total_Affected
1965,1,6,-6,300000
1967,1,50,-50,140000
1970,1,61,-61,243000
1978,1,0,0,3000
1983,1,10,-10,15000
1986,1,11,-11,25000
1987,1,3,-3,2576
1988,1,27,-27,60000
1993,1,30,-30,25000
1996,1,0,0,418
1998,1,0,0,2500
1999,1,1,-1,2000
2000,1,12,-12,8000
2001,4,11,-11,33200
2003,3,8,-8,18800
2004,3,16,-16,31038
2005,2,13,-13,30600
2006,4,6,-6,106518
2007,2,46,-46,166533
2008,2,0,0,8000
2009,2,0,0,10875
2011,1,2,-2,20000
2013,1,4,-4,75000
2014,1,17,-17,230000
2015,1,1,-1,3000
2016,4,0,0,31841
2017,3,9,-9,21981
2018,2,2,-2,16900
2019,4,2,-2,22477
2020,5,0,0,21883
2021,8,79,-79,164641
2022,5,17,-17,90625
2023,4,6,-6,84187
