Year,Category,Value
2021,Living Quarters,1600.0
2021,Vehicles,982.8
2021,Business Premises,525.8
2021,Agriculture,90.6
2021,Manufacturing,891.4
2021,Public Assets,2009.4
2022,Living Quarters,157.4
2022,Vehicles,18.8
2022,Business Premises,50.3
2022,Agriculture,154.5
2022,Manufacturing,8.7
2022,Public Assets,232.7
2023,Living Quarters,168.3
2023,Vehicles,22.3
2023,Business Premises,53.2
2023,Agriculture,120.6
2023,Manufacturing,10.3
2023,Public Assets,380.7
2024,Living Quarters,372.2
2024,Vehicles,17.3
2024,Business Premises,54.1
2024,Agriculture,185.2
2024,Manufacturing,1.2
2024,Public Assets,303.4
