State,Year,Loss,Change,Direction
Johor,2022,4.4,54.6,Worsened
Johor,2024,59.0,54.6,Worsened
Kedah,2022,30.8,162.9,Worsened
Kedah,2024,193.7,162.9,Worsened
Kelantan,2022,153.1,109.9,Worsened
Kelantan,2024,263.0,109.9,Worsened
Kuala Lumpur,2022,3.4,4.7,Worsened
Kuala Lumpur,2024,8.1,4.7,Worsened
Labuan,2024,2.4,2.4,Worsened
Melaka,2022,2.3,6.6,Worsened
Melaka,2024,8.9,6.6,Worsened
Negeri Sembilan,2022,21.0,-0.5,Improved
Negeri Sembilan,2024,20.5,-0.5,Improved
Pahang,2022,144.0,-106.7,Improved
Pahang,2024,37.3,-106.7,Improved
Perak,2022,14.9,42.3,Worsened
Perak,2024,57.2,42.3,Worsened
Perlis,2022,0.006,5.1,Worsened
Perlis,2024,5.1,5.1,Worsened
Pulau Pinang,2022,0.2,8.5,Worsened
Pulau Pinang,2024,8.7,8.5,Worsened
Putrajaya,2024,0.7,0.7,Worsened
Sabah,2022,6.3,30.5,Worsened
Sabah,2024,36.8,30.5,Worsened
Sarawak,2022,1.3,26.1,Worsened
Sarawak,2024,27.4,26.1,Worsened
Selangor,2022,25.5,-2.9,Improved
Selangor,2024,22.6,-2.9,Improved
Terengganu,2022,215.2,-33.2,Improved
Terengganu,2024,182.0,-33.2,Improved
