State,Event_Count,Total_Affected,Avg_Affected,Region
Johor,19,874814,46043,West Coast
Pahang,19,904288,47594,East Coast
Kelantan,18,650813,36156,East Coast
Terengganu,18,648106,36006,East Coast
Perak,11,493869,44897,West Coast
Sabah,8,425364,53170,Borneo
Selangor,8,410776,51347,West Coast
Melaka,9,245072,27230,West Coast
Kuala Lumpur,7,214902,30700,West Coast
Negeri Sembilan,5,224702,44940,West Coast
Perlis,3,262412,87471,West Coast
Kedah,6,52505,8751,West Coast
Sarawak,7,32037,4577,Borneo
Pulau Pinang,3,9019,3006,West Coast
